id,ime,prezime,email,grad,kategorija,produkt,kolicina,cena_denari,datum,nacin_plakanje
51,Filip,Stojanova,filip.stojanova@mail.mk,Prilep,Elektronika,Kafe,7,35832.35,2024-05-17,Kesh
34,Marko,Ilieva,marko.ilieva@mail.mk,Bitola,Sport,Kafe,7,39464.67,2024-04-09,Kesh
43,Nikola,Jovanov,nikola.jovanov@mail.mk,Bitola,Nameshtaj,Jakna,6,3087.33,2024-05-03,Kartichka
18,Ana,Mladenova,ana.mladenova@mail.mk,Kocani,Nameshtaj,Monitor,7,15885.98,2024-09-03,Transfer
86,Nikola,Ilieva,  NIKOLA.ILIEVA@MAIL.MK  ,Kumanovo,Nameshtaj,Monitor,15,34882.59,2024-02-11,Kesh
62,Dejan,Trajkova,dejan.trajkova@mail.mk,Tetovo,Sport,Topka,4,1570.98,2024-06-07,Kesh
33,Nikola,Georgieva,nikola.georgieva@mail.mk,Strumica,Nameshtaj,Topka,3,22036.67,2024-03-08,Kesh
45,Dejan,Ristov,dejan.ristov@mail.mk,Stip,Hrana,Telefon,7,35420.33,2024-03-24,Transfer
54,Ivana,Stojanova,ivana.stojanova@mail.mk,Ohrid,Obleka,Laptop,3,8230.38,2024-06-08,Transfer
76,Teodora,Georgieva,teodora.georgieva@mail.mk,Stip,Sport,Jakna,2,33630.72,2024-05-18,Kartichka
6,Ana,Georgieva,ana.georgieva@mail.mk,Kumanovo,Nameshtaj,Monitor,13,12703.06,2024-10-26,Kartichka
48,Bojan,Trajkova,bojan.trajkova@mail.mk,Kocani,Sport,Stol,9,38438.83,2024-02-27,Kesh
7,Teodora,Angelov,teodora.angelov@mail.mk,Kumanovo,Hrana,Maica,2,23062.06,2024-09-25,Kartichka
81,Filip,Stankov,filip.stankov@mail.mk,Kumanovo,Sport,Maica,5,9727.63,2024-11-14,Transfer
71,Ivana,Nikolova,ivana.nikolova@mail.mk,Kocani,Nameshtaj,Topka,12,1353.41,2024-01-15,Kartichka
5,Sara,Dimitrov,sara.dimitrov@mail.mk,Ohrid,Elektronika,Maica,6,4077.74,2024-12-30,Kesh
63,Teodora,Ristov,teodora.ristov@mail.mk,Skopje,Obleka,Monitor,2,19090.82,2024-09-14,Transfer
74,Stefan,Nikolova,stefan.nikolova@mail.mk,Kocani,Elektronika,Telefon,5,32718.36,2024-03-14,Kartichka
4,Bojan,Petrov,bojan.petrov@mail.mk,Kumanovo,Elektronika,Kafe,5,16881.73,2024-10-03,Kesh
85,Marko,Angelov,  MARKO.ANGELOV@MAIL.MK  ,Kumanovo,Obleka,Maica,13,23540.2,2024-05-12,Transfer
55,Sara,Dimitrov,sara.dimitrov@mail.mk,Kumanovo,Obleka,Jakna,9,26951.86,2024-05-18,Kartichka
